Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
20-Jan,10497.6,3149.28,2/27/2020,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
16-Apr,240.95,72.28,5/6/2016,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
16-Oct,3480.04,1044.01,11/5/2016,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
18-Feb,1651.77,495.53,3/28/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
16-Sep,2569,770.7,11/15/2016,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
15-Aug,4525.67,1357.7,9/26/2015,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
17-Jun,1378.95,413.68,7/18/2017,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
17-Dec,7258,2177.4,1/31/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
16-Oct,537.23,161.16,11/10/2016,Core-Mark Distributors Inc.,P.O.Box 21009,Seattle,WA,98111
16-May,3843.84,1153.15,6/3/2016,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
16-May,1941.02,582.3,7/7/2016,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
17-Oct,1522,456.6,11/6/2017,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
17-Apr,9188.87,2756.66,5/30/2017,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
23-Jul,25590.9,7677.27,8/18/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
17-Apr,21931.41,6579.42,5/31/2017,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
15-Dec,7252.65,2175.79,2/1/2016,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Sep,980.25,294.07,10/14/2016,Core-Mark Distributors Inc.,P.O.Box 21009,Seattle,WA,98111
18-Jan,59395.53,17818.65,2/12/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
17-Apr,8346,2503.8,5/31/2017,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
16-Dec,7425,2227.5,1/30/2017,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
16-Aug,4923.56,1477.06,9/28/2016,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Dec,1200,360,7/7/2017,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
15-Sep,6091.89,1827.56,10/30/2015,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
20-Apr,9403.67,2821.1,5/27/2020,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
20-May,253.4,76.02,6/26/2020,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
20-Jan,2407.74,722.32,2/15/2020,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
20-May,508.25,152.47,6/30/2020,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
17-Oct,65320.1,19596.03,11/16/2017,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
17-Dec,444.9,133.47,1/31/2018,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
16-Dec,1177.4,353.22,1/19/2017,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
17-Nov,64363.16,19308.94,12/11/2017,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
20-Sep,1161.95,348.58,10/10/2020,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
15-Aug,53.68,16.1,9/28/2015,Core-Mark Distributors Inc.,P.O.Box 21009,Seattle,WA,98111
15-Oct,5479.98,1643.99,11/29/2015,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
17-Feb,6615.28,1984.58,3/15/2017,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
16-Mar,862.2,258.66,4/21/2016,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
16-Sep,1366.5,409.95,10/3/2016,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
17-Aug,1084.27,325.28,10/11/2017,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
16-Feb,44117.87,13235.36,3/28/2016,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
20-Sep,200185.01,60055.5,10/16/2020,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
17-Apr,1723.65,517.09,5/19/2017,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
16-Mar,2140,642,4/25/2016,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
16-Nov,926.13,277.83,12/28/2016,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
20-Sep,17427.97,5228.39,10/20/2020,Avail Vapor LLC,820 Southlake Blvd,North Chesterfield,Virginia,23236
16-May,5461.31,1638.39,6/2/2016,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
16-Apr,14860.23,4458.06,5/11/2016,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
17-Jan,6764.05,2029.21,2/28/2017,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Dec,1187.23,356.16,2/23/2017,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
15-Sep,17616.75,5285.02,10/31/2015,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Mar,4600,1380,4/30/2016,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Feb,95,28.5,3/6/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
17-Nov,237.5,71.25,12/13/2017,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
17-Oct,13089.54,3926.86,11/25/2017,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Mar,491.27,147.38,4/3/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
17-Jan,858.58,257.57,2/22/2017,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
16-Mar,2514.53,754.35,4/19/2016,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
16-Apr,8467,2540.1,5/31/2016,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
15-Nov,3461.44,1038.43,12/1/2015,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
17-Apr,8860.37,2658.11,6/3/2017,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
15-Nov,320.95,96.28,12/20/2015,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
16-Feb,108.74,32.62,3/4/2016,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
17-Nov,1001.23,300.36,2/27/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
16-Sep,5512.04,1653.61,10/28/2016,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
17-Feb,21262.43,6378.72,3/31/2017,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
17-May,111.75,33.52,6/1/2017,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
17-Apr,439.44,131.83,5/30/2017,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
16-Jan,824.16,247.24,2/26/2016,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
15-Aug,1056,316.8,10/8/2015,Static Vapez,7101 Democracy Blvd,Bethesda,Maryland,20817
16-Feb,4229.05,1268.71,3/2/2016,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
15-Aug,231.67,69.5,10/20/2015,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
15-Dec,24047.52,7214.25,3/10/2016,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
16-Oct,1981.98,594.59,11/1/2016,Noon LLC,7902 georgia ave,silver spring,md,20910
15-Aug,7549.5,2264.85,9/30/2015,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
17-Feb,692.65,207.79,3/28/2017,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
16-Feb,7692,2307.6,3/31/2016,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Jan,11865.62,3559.68,2/28/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Oct,3840,1152,7/7/2017,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
20-Jan,169358.43,50807.52,2/20/2020,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
16-Aug,19117.72,5735.31,9/30/2016,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
17-Dec,3028,908.4,1/29/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Feb,5531.78,1659.53,3/9/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
17-Apr,151.62,45.48,5/16/2017,"C&S Wholesale Grocers, Inc (AWI)",Tax Department,Keene,NH,3431
17-Aug,285,85.5,9/18/2017,"C&S Wholesale Grocers, Inc (AWI)",Tax Department,Keene,NH,3431
16-Jul,5439.3,1631.79,8/31/2016,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
17-May,1108.17,332.45,6/21/2017,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
17-Sep,5923,1776.9,10/5/2017,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
17-Mar,6485,1945.5,4/30/2017,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
17-Sep,41984.74,12595.42,10/19/2017,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
15-Dec,1107.52,332.25,1/20/2016,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
17-Feb,1397.43,419.22,3/30/2017,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
15-Nov,1835.33,550.59,12/22/2015,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
16-Apr,560,168,5/19/2016,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
15-Dec,6785,2035.5,1/31/2016,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
21-May,1762.86,528.85,2/16/2022,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
21-Jan,2189,656.7,2/28/2021,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
17-Sep,692.9,207.87,10/2/2017,Noon LLC,7902 georgia ave,silver spring,md,20910
22-Jan,941.94,282.58,2/16/2022,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
24-Mar,8154.2,2446.26,4/29/2024,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
22-Apr,163377.29,49013.18,5/20/2022,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
15-Oct,798.4,239.52,11/23/2015,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
20-Jan,671.5,201.45,2/27/2020,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
16-Mar,4929.95,1478.98,4/9/2016,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
20-Jan,315,94.5,2/28/2020,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
15-Oct,3060.07,918.02,11/19/2015,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
21-Dec,4246.75,1274.02,1/2/2022,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
17-Dec,10362.75,3108.82,1/30/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
21-Nov,3855,1156.5,1/1/2022,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
16-Nov,2256,676.8,1/2/2017,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
17-May,8667.98,2600.39,7/3/2017,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
17-Mar,514.5,154.35,4/18/2017,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
17-Sep,2309.6,692.88,10/9/2017,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
17-Aug,741.15,222.34,9/29/2017,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
15-Aug,1830.77,549.23,9/29/2015,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
16-Feb,2976.1,892.83,4/5/2016,The H.T. Hackney Co,118 Enterprise Drive,Madison Heights,VA,24572
16-Jul,1976.07,592.82,8/1/2016,Noon LLC,7902 georgia ave,silver spring,md,20910
16-Dec,14454.33,4336.29,1/9/2017,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
16-Apr,2905.35,871.6,6/6/2016,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
17-Aug,40.5,12.15,9/1/2017,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Feb,1022.12,306.63,3/12/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
17-Feb,8555.3,2566.59,4/3/2017,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
17-Jul,1942.85,582.85,8/13/2017,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
20-Jun,2769,830.7,7/2/2020,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
17-Sep,57059.73,17117.91,10/25/2017,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
20-Apr,177542.43,53262.72,5/15/2020,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
21-Dec,6815.35,2044.6,1/2/2022,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
16-Aug,13781.03,4134.3,9/30/2016,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
17-Jan,2337,701.1,3/6/2017,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
17-Nov,7650,2295,12/31/2017,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
17-Apr,2346.1,703.83,5/31/2017,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
16-May,1615.85,484.75,6/2/2016,Noon LLC,7902 georgia ave,silver spring,md,20910
18-Jan,2574.13,772.23,2/22/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
17-Jul,867.41,260.22,8/29/2017,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
16-Jan,2507.2,752.16,2/29/2016,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
16-Jan,3259.97,977.99,2/24/2016,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
15-Dec,4515.71,1354.71,1/6/2016,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
16-May,324,97.2,6/15/2016,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
16-Aug,53087.63,15926.28,9/16/2016,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
17-Feb,251.1,75.33,3/3/2017,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
17-Jun,9003.05,2700.91,7/31/2017,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
16-Jun,1278.67,383.6,7/25/2016,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
21-Apr,354.22,106.26,2/16/2022,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
17-Mar,13073.1,3921.93,5/2/2017,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
16-Jan,3382,1014.6,3/1/2016,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
15-Nov,2807.84,842.35,12/24/2015,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
20-Jan,1540,462,2/29/2020,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
17-Apr,1057.63,317.28,5/17/2017,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
21-Jan,21691.07,6507.32,3/1/2021,Avail Vapor LLC,820 Southlake Blvd,North Chesterfield,Virginia,23236
17-Jul,2745,823.5,8/30/2017,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
17-May,6435,1930.5,6/30/2017,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
17-Apr,55327.53,16598.25,5/15/2017,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
15-Sep,1565.86,469.75,11/9/2015,Elite Vape,11221 dolfield blvd #103,Owings Mills,MD,21117
15-Aug,1125.86,337.75,10/2/2015,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
15-Nov,4271.6,1281.48,12/31/2015,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
16-Dec,62.7,18.81,1/11/2017,Core-Mark Distributors Inc.,P.O.Box 21009,Seattle,WA,98111
17-Jun,4352.52,1305.75,7/8/2017,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
16-Oct,1437.93,431.37,11/16/2016,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
20-Feb,2349,704.7,3/2/2020,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
15-Oct,14945.48,4483.64,12/4/2015,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Nov,3416.42,1024.92,12/3/2016,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
15-Sep,38.97,11.69,10/28/2015,The H.T. Hackney Co,118 Enterprise Drive,Madison Heights,VA,24572
17-Nov,1792.52,537.75,12/4/2017,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Feb,17176.9,5153.07,3/6/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
16-Jul,1400,420,7/7/2017,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
17-Sep,12662.3,3798.69,10/27/2017,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Jun,1074.2,322.26,8/2/2016,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
16-Jun,1692.7,507.81,7/31/2016,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
17-Dec,12451.56,3735.46,1/24/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Jan,17565.34,5269.6,2/6/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
17-Jun,9422.23,2826.66,7/28/2017,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
17-Apr,344,103.2,7/7/2017,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
17-Jan,8057.01,2417.1,2/21/2017,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
20-Jun,1239,371.7,7/4/2020,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
17-May,23739.32,7121.79,6/30/2017,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
17-Jun,22833.81,6850.14,7/31/2017,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
16-Aug,1037.53,311.25,11/21/2016,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
16-Jul,2477.26,743.17,8/17/2016,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
16-May,398.9,119.67,6/3/2016,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
15-Sep,1108.35,332.5,10/19/2015,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
15-Nov,21.75,6.52,12/9/2015,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
16-Aug,2763.6,829.08,10/3/2016,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
16-Mar,48844.87,14653.46,4/27/2016,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
16-Jul,3638.26,1091.47,8/2/2016,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
17-Jul,5431.26,1629.37,8/5/2017,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
16-Nov,7278.37,2183.51,12/27/2016,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
16-Nov,10711.23,3213.36,1/2/2017,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
18-Jan,7780,2334,2/28/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
15-Sep,265.48,79.64,10/27/2015,Core-Mark Distributors Inc.,P.O.Box 21009,Seattle,WA,98111
16-May,7765.45,2329.63,6/8/2016,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
16-Sep,53307.97,15992.39,10/24/2016,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Mar,14633.34,4390,4/4/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
17-Nov,1187.37,356.21,12/20/2017,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
16-Nov,1046.51,313.95,12/27/2016,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
21-Dec,4555.17,1366.55,1/5/2022,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
16-Feb,3390.67,1017.2,3/20/2016,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
17-Apr,462,138.6,5/3/2017,Noon LLC,7902 georgia ave,silver spring,md,20910
15-Nov,36773.67,11032.1,12/22/2015,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
16-Feb,3769.63,1130.88,4/24/2016,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
17-Apr,687.48,206.24,5/23/2017,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
15-Oct,235.97,70.79,11/17/2015,"CB Distributors, Inc.",2500 Kennedy Drive,Beloit,WI,53511
21-Oct,1075.82,322.74,2/16/2022,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
21-Jul,1107.97,332.39,2/16/2022,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
16-Jun,1629.7,488.91,7/1/2016,Noon LLC,7902 georgia ave,silver spring,md,20910
17-Oct,21387.46,6416.23,11/21/2017,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
17-Jul,21853.9,6556.17,8/22/2017,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
16-Sep,6625,1987.5,10/31/2016,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
15-Nov,1244.2,373.26,12/30/2015,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
17-Jul,2134.07,640.22,8/31/2017,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
16-Jun,4594.34,1378.3,7/28/2016,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
15-Dec,1851.9,555.57,1/19/2016,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
17-Dec,50970.99,15291.29,1/19/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
16-Jul,2677.47,803.24,8/5/2016,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
15-Nov,3722,1116.6,12/10/2015,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
15-Nov,3415,1024.5,1/5/2016,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
17-Jan,5360.71,1608.21,2/4/2017,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
17-May,707.18,212.15,6/29/2017,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
20-Feb,569.7,170.91,3/11/2020,AFG Distribution,128 Bingham Road,Asheville,NC,28806
16-Feb,2080,624,3/30/2016,Vapor Vapor Vapor-Darnestown road,12118 Darnestown Road,Gaithersburg,Maryland,20877
15-Dec,1146,343.8,2/18/2016,Noon LLC,7902 georgia ave,silver spring,md,20910
16-Jul,1101.87,330.56,8/18/2016,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
17-Nov,495,148.5,12/5/2017,Noon LLC,7902 georgia ave,silver spring,md,20910
15-Aug,4665.66,1399.69,9/4/2015,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
17-Nov,30512.04,9153.61,12/21/2017,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
16-Feb,340,102,3/31/2016,Noon LLC,7902 georgia ave,silver spring,md,20910
22-Jun,11903.08,3570.92,7/11/2022,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
17-May,3830,1149,6/5/2017,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
20-Jul,910,273,8/20/2020,AFG Distribution,128 Bingham Road,Asheville,NC,28806
20-Jul,4367.83,1310.34,8/21/2020,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
16-Oct,5423.2,1626.96,12/2/2016,Action House Vape,9433 Georgia Avenue,Silver Spring,Maryland,20910
16-Oct,2350,705,12/9/2016,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
16-Mar,3405.55,1021.66,4/25/2016,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
16-Aug,1174.85,352.45,9/23/2016,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Jan,787.39,236.21,2/23/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
15-Oct,3155,946.5,11/14/2015,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
17-Apr,5218.13,1565.43,5/17/2017,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
16-Oct,5130,1539,12/5/2016,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
15-Sep,3716.64,1114.99,10/22/2015,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
16-Jul,41078.1,12323.43,8/22/2016,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
17-Oct,443.25,132.97,11/30/2017,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
16-Nov,940,282,12/1/2016,Noon LLC,7902 georgia ave,silver spring,md,20910
