Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
23-Jan,2050.5,615.15,2/12/2023,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
23-Jan,3518.85,1055.65,2/12/2023,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
23-Jan,2112.25,633.67,2/12/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
23-Jan,51373.8,15412.14,2/9/2023,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
23-May,13950.64,4185.19,6/23/2023,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
23-Jan,361.3,108.39,2/20/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
23-Jan,2400.92,720.27,2/17/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
23-Jan,1256,376.8,2/21/2023,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
22-Jul,849.37,254.81,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Feb,647.83,194.34,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
23-May,42361.17,12708.35,6/9/2023,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
23-May,125509.56,37652.86,6/14/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
24-Aug,2124.5,637.35,9/21/2024,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
22-Sep,1070.21,321.06,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Mar,1714.03,514.2,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Dec,782.34,234.7,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Aug,894.76,268.42,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Oct,709.31,212.79,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
23-Jan,1277.93,383.37,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Nov,1397.84,419.35,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Apr,710.24,213.07,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-May,714.38,214.31,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
22-Jun,1009.77,302.93,2/22/2023,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
24-Jun,10987.5,3296.25,7/30/2024,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
24-Jun,114201.42,34260.42,7/18/2024,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Jan,7235.46,2170.64,2/27/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
23-Jan,12923.5,3877.05,2/27/2023,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
24-Jul,40961.46,12288.43,8/1/2024,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
22-Dec,7102,2130.6,3/7/2023,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
23-Jan,6711,2013.3,3/7/2023,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
23-Feb,2384.25,715.27,3/8/2023,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
23-Feb,1512,453.6,3/8/2023,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
23-Feb,1395,418.5,3/8/2023,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
23-Feb,4052.5,1215.75,3/8/2023,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
23-Feb,1475.25,442.57,3/8/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
23-Feb,1350.5,405.15,3/8/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
24-Jun,7225.21,2167.56,8/1/2024,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
23-Feb,5585,1675.5,3/8/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
24-Aug,1205,361.5,9/21/2024,Smoke Island7 inc,4949 Bethesda Ave,Bethesda,Maryland,20814
24-Aug,1365,409.5,9/21/2024,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
23-Feb,115029.75,34508.92,3/16/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Feb,16684.52,5005.35,3/17/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
23-Feb,1923.65,577.09,3/17/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
23-Feb,307.6,92.28,3/20/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
23-Feb,781.51,234.45,3/21/2023,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
23-Feb,1757.1,527.13,3/24/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
23-Feb,7221,2166.3,3/28/2023,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
23-Feb,38518.24,11555.47,3/8/2023,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
23-Feb,11051.1,3315.33,3/31/2023,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
23-Mar,1520,456,4/7/2023,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
23-Mar,1535,460.5,4/7/2023,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
23-Mar,3050,915,4/7/2023,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
23-Mar,4680,1404,4/7/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
23-Mar,3840,1152,4/7/2023,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
23-Mar,1400,420,4/7/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
23-Mar,1215,364.5,4/7/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
23-Mar,6054.23,1816.26,4/11/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
23-Mar,19031,5709.3,4/13/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
23-Mar,304.2,91.26,4/17/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
23-Mar,2404.06,721.21,4/19/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
24-Aug,2425.69,727.7,9/25/2024,Sheetz Distribution Services LLC,242 Sheetz Way,Claysburg,Pennsylvania,16625
23-Jun,7102.03,2130.6,7/18/2023,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
23-May,7521.14,2256.34,7/18/2023,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
